,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
465,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
466,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
467,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
468,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
469,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
470,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
471,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
472,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
473,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
474,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
475,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
476,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
477,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
478,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
479,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
480,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
481,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
482,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
483,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
484,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
485,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
486,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
487,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
488,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
489,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
490,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
491,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
492,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
493,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
494,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
495,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
496,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
497,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
498,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
499,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
500,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
501,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
502,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
503,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
504,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
505,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
506,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
507,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
508,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
509,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
510,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
511,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
512,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
513,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
514,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
515,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
516,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
517,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
518,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
519,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
520,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
521,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
522,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
523,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
524,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
525,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
526,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
527,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
528,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
529,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
530,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
531,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
532,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
533,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
534,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
535,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
536,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
537,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
538,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
539,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
540,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
541,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
542,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
543,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
544,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
545,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
546,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
547,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
548,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
549,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
550,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
551,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
552,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
553,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
554,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
555,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
556,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
557,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
558,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
559,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
560,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
561,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
562,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
563,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
564,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
565,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
566,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
567,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
568,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
569,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
570,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
571,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
572,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
573,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
574,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
575,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
576,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
577,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
578,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
579,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
580,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
581,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
582,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
583,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
584,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
585,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
586,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
587,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
588,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
589,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
590,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
591,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
592,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
593,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
594,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
595,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
596,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
597,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
598,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
599,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
600,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
601,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
602,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
603,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
604,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
605,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
606,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
607,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
608,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
609,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
610,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
611,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
612,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
613,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
614,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
615,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
616,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
617,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
618,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
619,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
620,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
621,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
622,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
623,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
624,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
625,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
626,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
627,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
628,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
629,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
630,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
631,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
632,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
633,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
634,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
635,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
636,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
637,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
638,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
639,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
640,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
641,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
642,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
643,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
644,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
645,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
646,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
647,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
648,浦东 御桥,暂无数据,建华铂中环,2室1厅2卫,南,5000,低楼层 (共9层),50平米
649,浦东 洋泾,距地铁6号线民生路752米,第五大道,2室2厅1卫  整租,南,9300,高楼层 (共16层),105.76平米
650,闵行 七宝,暂无数据,白雪公主,2室2厅1卫,南,6000,高楼层 (共6层),80.67平米
651,闸北 彭浦,暂无数据,兴泉小区,2室1厅1卫,南,4200,中楼层 (共6层),64.17平米
652,长宁 天山,距地铁2号线威宁路502米,天山怡景苑,2室2厅1卫  整租,南,12000,低楼层 (共17层),89.51平米
653,闵行 春申,暂无数据,春申景城MIDTOWN,3室2厅2卫  整租,南,13500,高楼层 (共25层),154.56平米
654,黄浦 南京东路,距地铁1号线人民广场486米,中福城,2室2厅1卫  整租,南,13500,低楼层 (共15层),94.57平米
655,虹口 鲁迅公园,距地铁3号线虹口足球场527米,何家宅小区,3室0厅1卫,南,6300,高楼层 (共7层),67.61平米
656,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,5500,低楼层 (共14层),128.28平米
657,徐汇 徐家汇,距地铁1号线徐家汇462米,天钥花苑,1室1厅1卫,南,15000,低楼层 (共10层),45平米
658,宝山 上大,暂无数据,金地艺境(商业类),1室1厅1卫,西,3000,低楼层 (共3层),45.32平米
659,浦东 航头,暂无数据,金地艺华年(别墅),4室2厅1卫,南,11000,低楼层 (共4层),209平米
660,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
661,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
662,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
663,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
664,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
665,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
666,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
667,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
668,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
669,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
670,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
671,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
672,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
673,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
674,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
675,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
676,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
677,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
678,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
679,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
680,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
681,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
682,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
683,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
684,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
685,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
686,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
687,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
688,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
689,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
690,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
691,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
692,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
693,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
694,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
695,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
696,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
697,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
698,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
699,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
700,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
701,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
